company_name,website,City,segment,what_they_make, revenue_band ,decision_maker,decision_maker_role,decision_maker_background,c1_score,c1_evidence,c2_score,c2_evidence,c3_score,c3_evidence,c4_score,c4_evidence,c5_score,c5_evidence,c6_score,c6_evidence,overall_verdict,verdict_reason,personalization_hook
Axiom Chemicals,https://www.axiomchemicals.in/ ,Vadodara,performance chemicals,"chemical manufacturer, exporter, and supplier",Rs.300-500Cr,Mr. Amit,CEO,,weak,Website mentions manufacturing but no clear plant/facility details provided,strong,Vadodara-based company with operations in India,moderate,Offers industrial chemicals but no clear niche products or proprietary technologies highlighted,weak,CEO identified but no publicly available background found,strong,massive tailwind from India's PLI scheme for advanced chemistry cells.,weak,"No visible hiring, expansion announcements, or recent certifications",borderline,"Lacks clear differentiation, weak growth signals, and no evidence of technical leadership",Axiom's lithium salts portfolio is directly riding India's EV battery boom — a founder conversation around scaling export capacity or PLI-linked growth could be a strong opener.
Angel Chemicals Pvt. Ltd.,https://angelchembaroda.com/ ,Vadodara,performance chemicals,"manufacturing and supplying a wide range of Water Treatment Chemical, Water Treatment Plant, Boiler Water Chemical, Water Analysis Equipment, etc", <Rs.10Cr ,Nitin Patel,CEO,"Gujarat University, B.sc, Chemistry",weak,"Claims manufacturing, but product list (alum, activated carbon, citric acid) indicates standard chemicals with no plant or capacity details provided",strong,Based in Vadodara with operations in Vadsala and Makarpura GIDC,weak,Product portfolio consists of commodity water treatment chemicals with no niche or proprietary formulations,strong,CEO is from science background,moderate,"Operates in water treatment chemicals, a stable but not high-growth specialty segment",weak,"No visible hiring, expansion announcements, or recent certifications",fail,"Commodity product mix, unclear manufacturing capability, weak growth signals, and limited differentiation",
Maxwell Additives Pvt. Ltd.,https://maxwelladditives.com/ ,Vadodara,performance chemicals,"Water treatment, corrosion inhibitors, phosphonates, antiscalants, dispersant polymers", Rs.10-50Cr ,Prajesh Shah,CEO & MD,,strong,Operates 3 manufacturing units in Vadodara with ~4000 MT/year capacity and 35+ years of operations,strong,Headquartered in Vadodara with additional presence in Delhi; fully India-based manufacturing,strong,"Produces specialty water treatment chemicals including phosphonates (ATMP, DTPMP, HEDP, PBTC), polymers, and quats under proprietary brands (OLKLIN, POLYMAN, PHOSPHOMAN)",weak,CEO identified but no publicly available background found,strong,"Operates in water treatment and industrial chemicals, benefiting from increasing demand across sectors like oil & gas and process industries",strong,"Holds multiple ISO certifications (QMS, EMS, FSMS, OHSAS) and has expanded presence with a Delhi branch",strong fit,"Established manufacturer with clear product differentiation, proprietary brands, and strong operational scale despite unclear technical leadership","35+ year specialty chemical manufacturer with 3 Vadodara plants, proprietary OLKLIN/POLYMAN product lines, multi-sector presence, and active growth signals including weekly content and ISO certifications."
LAVEEK ADDCHEM,https://laveekaddchem.com/ ,Vadodara,performance chemicals,"Polymer Stabilization,supplying Additives and Concentrates", Rs.10-50Cr ,Deepak Singh Hada,Founder & CEO,"Dr. Babasaheb Ambedkar University, BCA, Gold Medalist and Jaipur National University, MCA",weak,"Website mentions manufacturing but no clear plant, production capacity, or facility details provided",strong,"Headquartered in Vadodara, Gujarat with India-based operations",moderate,"Focuses on niche plastic additives such as antioxidants, UV stabilizers, photoinitiators, and optical brighteners",weak,Founder has a BCA/MCA background with no visible technical or chemical engineering experience,moderate,"Operates in plastic additives, a growing segment driven by demand in polymers and packaging industries",moderate,"ISO 9001:2015 certified, reports 850+ customers and international collaborations, but limited scale and early-stage (founded 2019)",borderline,Strong market positioning in a growing niche but lacks clear manufacturing capability and technical leadership,"Laveek is aggressively building its plastic additives distribution network with 850+ customers — a conversation with Deepak around scaling his supply chain or building proprietary formulations could be interesting, but the non-technical founder background is a red flag for DeepThought's ICP"
Allchem Lifescience Ltd,https://www.allchemlifescience.com/ ,Vadodara,specialty chemicals,Pharmaceuticals and specialty chemicals, Rs.100-300Cr ,Bipin Patel,Founder & MD,M.Sc. From University of Baroda in chemistry,strong,"Operates a full manufacturing facility at Savli, Vadodara with hydrogenation plant, distillation units, and in-house labs",strong,"Headquartered and manufacturing in Vadodara, Gujarat",strong,Produces specialized pharma intermediates including piperazine and cycloalkane derivatives with hydrogenation capabilities,strong,CEO is from science background,strong,"Operates in pharma intermediates, benefiting from China+1 shift and growth in Indian pharma exports",strong,"Recently completed IPO, US FDA audited, and has expanded manufacturing capabilities",strong fit,"Textbook Federer. Scientist-led company with strong manufacturing capabilities, niche intermediates, and operating in a high-growth pharma segment",Allchem just went through an IPO — a conversation with Bipin Patel around scaling their piperazine derivatives capacity or positioning for new pharma export contracts post-listing would be a highly relevant opener
Simalin Chemical Industries Private Ltd,https://simalin.com/ ,Vadodara,performance chemicals,"polymar additives, resins, water treatment chemicals", Rs.300-500Cr ,Ashok Patel,Founder & MD,M.Sc. From University of Southern California in Chemical Engineering and MBA from Drucker School of Management,strong,"Operates a manufacturing facility in Nandesari GIDC with production of formaldehyde, hexamine, paraformaldehyde, and methanol; established with technical collaboration from Chematur (Sweden)",strong,"HQ and plant fully in Vadodara. Offices in Ahmedabad, Mumbai, Delhi. 100% India-based.",moderate,"Produces industrial chemicals like formaldehyde and hexamine with technical collaboration, but overall product mix remains largely commodity",strong,Founder & MD holds M.Sc. in Chemical Engineering (USC) and MBA from Drucker School of Management,moderate,"Serves downstream industries like resins and rubber, which have stable but not high-growth demand",weak,"Website appears outdated (last updated ~2015–2016) with no visible hiring, expansion, or recent certifications",borderline,"Strong manufacturing base and technical leadership, but limited differentiation and weak visible growth signals","Real manufacturer at Nandesari GIDC with strong founder credentials (USC M.Sc. + MBA), but produces commodity chemicals (formaldehyde, methanol) with no visible growth signals since 2015."
Destiny Chemicals,https://destinychemicals.co.in/ ,Vadodara,specialty chemicals,"Potassium Chemical Compounds, Ammonium Chemical Compounds, Calcium Chemical Compounds, Sodium Chemical Compounds", Rs.10-50Cr ,Nikhil Shah,Founder & Owner,B.Sc. From SVME Nashik in Chemical Engineering,weak,"Claims manufacturing but no plant capacity, process details, or facility information provided; product list dominated by standard inorganic salts",strong,"Located in Nandesari GIDC, Vadodara with India-based operations",weak,"Portfolio consists of commodity inorganic salts (sodium, potassium, calcium, ammonium compounds) with no niche or proprietary formulations",strong,Founder & Owner — B.Sc. Chemical Engineering from SVME Nashik. Science background confirmed.,weak,Commodity inorganic salts — no meaningful sector tailwind.,weak,"No visible hiring, certifications, expansion activity, or recent updates; static website",fail,"Commodity product mix, unclear manufacturing capability, and lack of differentiation or growth signals",
P K Chlorochem Private Limited,https://www.pkchlorochem.com/ ,Vadodara,specialty chemicals,"Pharmaceutical industry, Dyestuff, Agrochemicals industry", Rs.10-50Cr ,Ketan Ramani,Director,,weak,Website describes the company as a chemical distribution business with no mention of manufacturing facilities or production capacity,strong,Based in Vadodara with India-based operations,weak,"Distributes commodity inorganic chemicals such as ammonium sulphate, potassium carbonate, and sodium sulphide with no proprietary products",weak,Director identified but no publicly available technical or scientific background found,moderate,"Operates in chemical supply chains serving multiple industries, though without direct exposure to high-growth specialty segments",weak,"Website appears outdated (~2019) with no visible hiring, expansion, or certification updates",fail,This is a distributor by their own description. Auto-drop.,"Not applicable — not a manufacturer, doesn't fit the ICP at all"
Seabert Chemicals Pvt. Ltd.,https://seabertchemicals.com/ ,Vadodara,specialty chemicals,"pharma ingredients, personal care, food and nutrition, feed fertilizer", <Rs.10Cr ,,,Not evaluated — auto-disqualified on revenue.,weak,No manufacturing facility or production details mentioned; office listed in a commercial area with a product mix suggesting trading,strong,"Based in Vadodara, Gujarat with India-based operations",weak,"Very broad catalogue across pharma, personal care, food, feed, fertilizers, and agro produce with no proprietary products",weak,No decision-maker information or technical background found,weak,Operates across multiple chemical and agro sectors with steady demand but no focused exposure to high-growth niches,weak,"Website appears outdated (~2020) with no visible hiring, expansion, or certification activity",fail,"Likely a distributor with no clear manufacturing capability, differentiation, or growth signals",Not applicable — doesn't fit the ICP
Divya Chemicals,https://www.divyachem.com/ ,Vadodara,performance chemicals,"anti corrosive coating, industrial resin flooring, adhesive & sealant, construction chemicals", Rs.10-50Cr ,Brijesh Mehta,Owner,,moderate,"Offers a range of coatings and construction chemicals, but also provides application and installation services, indicating a mixed product-service model",strong,Based in Vadodara with pan-India operations,moderate,"Works in niche areas like anti-corrosive coatings and passive fire protection, but very broad product range (500+ products) reduces specialization",weak,Owner identified but no publicly available technical or scientific background found,moderate,Operates in industrial coatings and construction chemicals with steady demand across infrastructure and maintenance sectors,weak,"No visible hiring, expansion, or certification signals; small team size and limited public activity",borderline,Real product presence in niche segments but diluted by service-heavy model and lack of clear growth or technical leadership signals,Divya Chemicals has been quietly serving industrial coatings and fire protection for 40 years — a conversation with Samir Shirolawala around formalizing their growth strategy or expanding their corrosion protection range into new industrial verticals could be compelling
